"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2026","0.2520","0.2418","0.2545","0.2415","167.31M","4.22%"
"03/31/2026","0.2418","0.2435","0.2493","0.2347","142.22M","-0.66%"
"03/30/2026","0.2434","0.2401","0.2515","0.2395","112.41M","1.50%"
"03/29/2026","0.2398","0.2459","0.2473","0.2338","124.65M","-2.48%"
"03/28/2026","0.2459","0.2461","0.2526","0.2441","73.27M","-0.04%"
"03/27/2026","0.2460","0.2544","0.2561","0.2451","145.63M","-3.45%"
"03/26/2026","0.2548","0.2705","0.2707","0.2526","147.46M","-5.80%"
"03/25/2026","0.2705","0.2672","0.2767","0.2657","120.67M","1.54%"
"03/24/2026","0.2664","0.2617","0.2682","0.2582","106.58M","1.83%"
"03/23/2026","0.2616","0.2513","0.2664","0.2479","200.28M","4.39%"
"03/22/2026","0.2506","0.2572","0.2601","0.2482","113.64M","-2.60%"
"03/21/2026","0.2573","0.2661","0.2673","0.2560","67.94M","-3.31%"
"03/20/2026","0.2661","0.2678","0.2730","0.2617","85.12M","-0.49%"
"03/19/2026","0.2674","0.2744","0.2764","0.2627","106.76M","-2.48%"
"03/18/2026","0.2742","0.2890","0.2947","0.2697","148.95M","-5.15%"
"03/17/2026","0.2891","0.2903","0.2931","0.2820","157.23M","-0.45%"
"03/16/2026","0.2904","0.2707","0.2935","0.2687","335.34M","7.48%"
"03/15/2026","0.2702","0.2636","0.2718","0.2614","86.85M","2.58%"
"03/14/2026","0.2634","0.2652","0.2666","0.2586","97.70M","-0.83%"
"03/13/2026","0.2656","0.2638","0.2814","0.2631","192.63M","0.80%"
"03/12/2026","0.2635","0.2631","0.2654","0.2580","86.07M","0.34%"
"03/11/2026","0.2626","0.2620","0.2677","0.2570","148.37M","0.19%"
"03/10/2026","0.2621","0.2551","0.2734","0.2550","189.95M","2.70%"
"03/09/2026","0.2552","0.2492","0.2626","0.2491","138.52M","2.37%"
"03/08/2026","0.2493","0.2544","0.2572","0.2460","112.90M","-2.00%"
"03/07/2026","0.2544","0.2593","0.2610","0.2521","98.38M","-1.78%"
"03/06/2026","0.2590","0.2689","0.2719","0.2557","131.63M","-3.75%"
"03/05/2026","0.2691","0.2763","0.2779","0.2652","147.10M","-2.64%"
"03/04/2026","0.2764","0.2624","0.2849","0.2586","296.01M","5.34%"
"03/03/2026","0.2624","0.2771","0.2771","0.2606","202.40M","-5.24%"
"03/02/2026","0.2769","0.2732","0.2885","0.2688","148.43M","1.24%"
"03/01/2026","0.2735","0.2823","0.2919","0.2691","150.93M","-2.67%"
"02/28/2026","0.2810","0.2773","0.2841","0.2595","194.23M","1.19%"
"02/27/2026","0.2777","0.2870","0.2959","0.2734","106.33M","-3.24%"
"02/26/2026","0.2870","0.2974","0.3009","0.2827","163.97M","-3.40%"
"02/25/2026","0.2971","0.2588","0.3129","0.2579","327.14M","14.89%"
"02/24/2026","0.2586","0.2629","0.2646","0.2540","92.77M","-1.41%"
"02/23/2026","0.2623","0.2714","0.2752","0.2582","124.60M","-3.42%"
"02/22/2026","0.2716","0.2798","0.2802","0.2690","50.27M","-3.03%"
"02/21/2026","0.2801","0.2849","0.2865","0.2791","50.54M","-1.72%"
"02/20/2026","0.2850","0.2729","0.2935","0.2700","122.78M","4.40%"
"02/19/2026","0.2730","0.2731","0.2772","0.2675","77.21M","-0.26%"
"02/18/2026","0.2737","0.2810","0.2874","0.2717","80.64M","-2.56%"
"02/17/2026","0.2809","0.2858","0.2897","0.2775","75.05M","-1.71%"
"02/16/2026","0.2858","0.2817","0.2889","0.2771","77.07M","1.38%"
"02/15/2026","0.2819","0.2950","0.3020","0.2775","145.05M","-4.41%"
"02/14/2026","0.2949","0.2734","0.3007","0.2727","112.46M","8.02%"
"02/13/2026","0.2730","0.2643","0.2745","0.2583","101.34M","3.25%"
"02/12/2026","0.2644","0.2561","0.2695","0.2560","111.18M","3.32%"
"02/11/2026","0.2559","0.2620","0.2648","0.2506","104.85M","-2.33%"
"02/10/2026","0.2620","0.2702","0.2705","0.2601","93.93M","-2.93%"
"02/09/2026","0.2699","0.2699","0.2740","0.2596","167.32M","-0.04%"
"02/08/2026","0.2700","0.2721","0.2764","0.2670","266.59M","-0.77%"
"02/07/2026","0.2721","0.2761","0.2786","0.2657","472.27M","-1.48%"
"02/06/2026","0.2762","0.2459","0.2841","0.2211","683.98M","12.55%"
"02/05/2026","0.2454","0.2864","0.2897","0.2446","468.38M","-14.32%"
"02/04/2026","0.2864","0.2916","0.3026","0.2809","171.76M","-1.85%"
"02/03/2026","0.2918","0.2991","0.3049","0.2820","178.85M","-2.47%"
"02/02/2026","0.2992","0.2860","0.3032","0.2763","218.11M","4.76%"
"02/01/2026","0.2856","0.2936","0.2991","0.2798","183.73M","-2.82%"
"01/31/2026","0.2939","0.3209","0.3223","0.2726","435.86M","-8.36%"
"01/30/2026","0.3207","0.3349","0.3358","0.3168","174.45M","-4.18%"
"01/29/2026","0.3347","0.3586","0.3591","0.3275","144.89M","-6.59%"
"01/28/2026","0.3583","0.3612","0.3650","0.3550","90.29M","-0.67%"
"01/27/2026","0.3607","0.3523","0.3633","0.3480","97.65M","2.44%"
