"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2026","0.6925","0.6919","0.6930","0.6899","","0.06%"
"03/31/2026","0.6921","0.6853","0.6922","0.6834","","1.01%"
"03/30/2026","0.6852","0.6880","0.6889","0.6833","","0.01%"
"03/29/2026","0.6851","0.6866","0.6869","0.6847","","-0.32%"
"03/27/2026","0.6873","0.6889","0.6914","0.6864","","-0.20%"
"03/26/2026","0.6887","0.6948","0.6959","0.6875","","-0.88%"
"03/25/2026","0.6948","0.6997","0.7005","0.6943","","-0.69%"
"03/24/2026","0.6996","0.7011","0.7025","0.6938","","-0.21%"
"03/23/2026","0.7011","0.7017","0.7064","0.6910","","-0.19%"
"03/20/2026","0.7024","0.7087","0.7098","0.7005","","-0.89%"
"03/19/2026","0.7087","0.7024","0.7110","0.6999","","0.88%"
"03/18/2026","0.7025","0.7105","0.7125","0.7018","","-1.13%"
"03/17/2026","0.7105","0.7071","0.7119","0.7049","","0.47%"
"03/16/2026","0.7072","0.6996","0.7084","0.6983","","1.30%"
"03/13/2026","0.6981","0.7078","0.7094","0.6979","","-1.36%"
"03/12/2026","0.7077","0.7152","0.7162","0.7072","","-1.05%"
"03/11/2026","0.7152","0.7120","0.7192","0.7112","","0.45%"
"03/10/2026","0.7120","0.7076","0.7172","0.7052","","0.62%"
"03/09/2026","0.7076","0.7001","0.7081","0.6956","","0.65%"
"03/06/2026","0.7030","0.7008","0.7052","0.6977","","0.30%"
"03/05/2026","0.7009","0.7075","0.7093","0.6974","","-0.93%"
"03/04/2026","0.7075","0.7042","0.7087","0.6984","","0.57%"
"03/03/2026","0.7035","0.7090","0.7126","0.6944","","-0.82%"
"03/02/2026","0.7093","0.7116","0.7121","0.7032","","-0.32%"
"02/27/2026","0.7116","0.7107","0.7136","0.7086","","0.15%"
"02/26/2026","0.7105","0.7120","0.7141","0.7067","","-0.27%"
"02/25/2026","0.7124","0.7058","0.7131","0.7057","","0.94%"
"02/24/2026","0.7058","0.7055","0.7075","0.7026","","0.03%"
"02/23/2026","0.7056","0.7084","0.7113","0.7046","","-0.40%"
"02/20/2026","0.7084","0.7053","0.7095","0.7015","","0.35%"
"02/19/2026","0.7059","0.7043","0.7082","0.7024","","0.23%"
"02/18/2026","0.7043","0.7086","0.7089","0.7035","","-0.61%"
"02/17/2026","0.7086","0.7072","0.7091","0.7028","","0.20%"
"02/16/2026","0.7072","0.7063","0.7098","0.7056","","-0.04%"
"02/13/2026","0.7075","0.7089","0.7099","0.7043","","-0.21%"
"02/12/2026","0.7090","0.7124","0.7149","0.7075","","-0.52%"
"02/11/2026","0.7127","0.7076","0.7144","0.7065","","0.72%"
"02/10/2026","0.7076","0.7091","0.7096","0.7064","","-0.23%"
"02/09/2026","0.7092","0.7009","0.7099","0.7006","","1.07%"
"02/06/2026","0.7017","0.6927","0.7026","0.6897","","1.30%"
"02/05/2026","0.6927","0.6998","0.7009","0.6926","","-1.01%"
