"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2026","620.73","617.24","621.70","614.44","146.76K","0.53%"
"03/31/2026","617.48","609.29","619.73","599.29","139.14K","1.36%"
"03/30/2026","609.22","606.41","620.88","605.15","122.89K","0.52%"
"03/29/2026","606.08","610.84","615.15","597.24","83.41K","-0.82%"
"03/28/2026","611.10","614.01","618.53","609.90","70.08K","-0.46%"
"03/27/2026","613.95","628.85","631.69","605.91","131.73K","-2.37%"
"03/26/2026","628.86","647.84","648.47","623.20","94.72K","-2.89%"
"03/25/2026","647.58","638.70","652.65","637.94","117.53K","1.45%"
"03/24/2026","638.31","639.35","640.14","627.17","101.16K","-0.12%"
"03/23/2026","639.09","627.39","650.22","620.56","257.56K","2.02%"
"03/22/2026","626.41","629.77","637.70","622.31","102.37K","-0.65%"
"03/21/2026","630.52","642.17","646.38","628.26","54.22K","-1.81%"
"03/20/2026","642.16","639.21","647.63","636.43","96.69K","0.47%"
"03/19/2026","639.15","652.14","656.37","633.41","117.68K","-2.01%"
"03/18/2026","652.27","668.63","676.46","644.54","144.51K","-2.44%"
"03/17/2026","668.61","678.98","686.52","663.61","147.12K","-1.60%"
"03/16/2026","679.50","674.53","686.18","670.24","226.92K","0.85%"
"03/15/2026","673.77","657.83","678.81","654.47","93.00K","2.44%"
"03/14/2026","657.70","655.38","658.02","650.20","55.24K","0.28%"
"03/13/2026","655.84","651.61","678.55","650.56","231.98K","0.63%"
"03/12/2026","651.72","652.06","657.27","641.94","101.53K","0.04%"
"03/11/2026","651.46","641.88","656.01","636.28","120.15K","1.47%"
"03/10/2026","642.01","634.46","652.28","634.46","100.79K","1.16%"
"03/09/2026","634.64","611.97","642.34","611.50","121.35K","3.71%"
"03/08/2026","611.96","620.26","623.98","608.21","81.94K","-1.31%"
"03/07/2026","620.11","627.32","630.13","618.60","63.14K","-1.16%"
"03/06/2026","627.40","648.01","651.59","625.04","114.71K","-3.16%"
"03/05/2026","647.85","658.00","665.30","646.30","128.06K","-1.59%"
"03/04/2026","658.30","633.57","666.07","626.22","199.92K","3.93%"
"03/03/2026","633.40","637.76","642.30","621.03","150.22K","-0.66%"
"03/02/2026","637.58","617.99","652.58","613.11","202.54K","3.21%"
"03/01/2026","617.78","617.14","632.04","611.05","169.96K","0.12%"
"02/28/2026","617.01","614.03","620.71","588.79","172.11K","0.49%"
"02/27/2026","614.03","625.76","633.56","605.90","128.16K","-1.87%"
"02/26/2026","625.70","629.37","633.83","614.43","126.68K","-0.58%"
"02/25/2026","629.32","583.83","639.10","581.71","221.64K","7.84%"
"02/24/2026","583.57","596.41","602.82","577.17","168.29K","-2.15%"
"02/23/2026","596.41","614.84","615.82","583.59","245.06K","-2.99%"
"02/22/2026","614.81","625.58","626.87","610.08","68.57K","-1.75%"
"02/21/2026","625.79","626.31","634.47","624.00","81.69K","-0.03%"
"02/20/2026","625.95","607.52","629.65","601.47","159.59K","2.98%"
"02/19/2026","607.83","604.53","614.77","596.43","109.36K","0.50%"
"02/18/2026","604.80","617.82","626.36","601.54","97.25K","-2.08%"
"02/17/2026","617.65","627.40","631.24","609.36","91.93K","-1.54%"
"02/16/2026","627.29","614.35","630.96","604.64","105.66K","1.98%"
"02/15/2026","615.09","632.40","641.98","609.02","132.45K","-2.78%"
"02/14/2026","632.70","619.46","637.23","615.86","113.89K","2.18%"
"02/13/2026","619.19","614.29","622.75","592.49","211.37K","0.81%"
"02/12/2026","614.24","608.11","620.77","601.06","121.33K","1.01%"
"02/11/2026","608.12","619.81","624.02","587.51","236.32K","-1.86%"
"02/10/2026","619.64","636.38","641.89","613.86","153.56K","-2.63%"
"02/09/2026","636.38","639.59","645.81","616.46","148.76K","-0.57%"
"02/08/2026","640.04","647.23","652.81","632.40","124.18K","-1.13%"
"02/07/2026","647.33","656.96","663.57","630.96","217.51K","-1.51%"
"02/06/2026","657.24","608.47","669.45","573.44","593.32K","8.12%"
"02/05/2026","607.86","697.75","702.41","603.12","799.15K","-12.82%"
"02/04/2026","697.24","754.63","765.19","687.39","424.47K","-7.62%"
"02/03/2026","754.79","774.08","783.57","736.29","243.95K","-2.47%"
"02/02/2026","773.94","759.54","780.88","728.85","306.66K","2.04%"
"02/01/2026","758.44","781.27","789.23","740.30","259.13K","-3.00%"
"01/31/2026","781.87","858.64","860.79","751.57","407.29K","-8.96%"
"01/30/2026","858.81","868.43","869.77","833.00","295.95K","-1.14%"
"01/29/2026","868.69","903.43","906.65","853.23","270.24K","-3.79%"
"01/28/2026","902.91","899.14","908.83","894.42","110.27K","0.53%"
"01/27/2026","898.18","879.32","901.22","876.20","138.50K","2.14%"
"01/26/2026","879.40","866.00","881.37","865.07","102.72K","1.54%"
"01/25/2026","866.02","887.05","887.60","856.39","120.78K","-2.39%"
"01/24/2026","887.18","891.55","894.20","886.56","51.27K","-0.50%"
"01/23/2026","891.62","888.59","904.82","883.35","96.14K","0.40%"
"01/22/2026","888.06","883.48","897.56","878.20","98.79K","0.53%"
"01/21/2026","883.40","882.82","893.46","864.89","201.64K","-0.09%"
"01/20/2026","884.19","923.86","932.88","884.19","163.77K","-4.27%"
"01/19/2026","923.61","929.38","929.99","901.73","209.46K","-0.93%"
"01/18/2026","932.31","946.63","953.30","931.71","76.82K","-1.56%"
"01/17/2026","947.12","938.49","955.87","935.51","86.19K","0.96%"
"01/16/2026","938.16","931.21","939.39","924.01","77.47K","0.75%"
"01/15/2026","931.20","948.48","948.85","924.13","131.20K","-1.82%"
"01/14/2026","948.47","943.76","954.14","928.50","183.21K","0.53%"
"01/13/2026","943.50","906.03","952.50","902.33","311.95K","4.16%"
"01/12/2026","905.78","904.55","910.67","894.42","108.53K","0.19%"
"01/11/2026","904.02","907.93","917.06","898.88","98.62K","-0.43%"
"01/10/2026","907.92","896.99","915.89","896.82","124.90K","1.24%"
"01/09/2026","896.84","892.36","900.89","885.56","81.58K","0.50%"
"01/08/2026","892.34","900.31","904.67","875.58","134.56K","-0.85%"
